question,answer
"what is ML?","ML means training computer to perform action"
"what is expanison of AI?","Artificial Intelligence"
"what is your name?","Iam Minitta R Walter"
"which is the simple and easier programming language?","python is simple and easier language"
"what is data science?","Data science is a interdisciplinary field"
"which language is platform independent?","java is the platform independent".
"How many state are there in India?","There are 28 states in India"
"How many districts are there in Tamilnadu?","There are 38 districts in Tamilnadu"
"which is the smallest state in India?","Goa is the smallest state in India"
"which is largest river in India?","Ganga is the largest river in India"
